gender=Male,SeniorCitizen,Partner=No,Dependents=Yes,tenure,PhoneService=Yes,'MultipleLines=No phone service',MultipleLines=No,MultipleLines=Yes,InternetService=DSL,'InternetService=Fiber optic',InternetService=No,OnlineSecurity=No,OnlineSecurity=Yes,'OnlineSecurity=No internet service',OnlineBackup=Yes,OnlineBackup=No,'OnlineBackup=No internet service',DeviceProtection=No,DeviceProtection=Yes,'DeviceProtection=No internet service',TechSupport=No,TechSupport=Yes,'TechSupport=No internet service',StreamingTV=No,StreamingTV=Yes,'StreamingTV=No internet service',StreamingMovies=No,StreamingMovies=Yes,'StreamingMovies=No internet service',Contract=Month-to-month,'Contract=One year','Contract=Two year',PaperlessBilling=No,'PaymentMethod=Electronic check','PaymentMethod=Mailed check','PaymentMethod=Bank transfer (automatic)','PaymentMethod=Credit card (automatic)',MonthlyCharges,TotalCharges,Churn
0,0,0,0,0.013889,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0.115423,0.001275,No
1,0,1,0,0.472222,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0.385075,0.215867,No
1,0,1,0,0.027778,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0.354229,0.01031,Yes
1,0,1,0,0.625,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0.239303,0.210241,No
0,0,1,0,0.027778,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0.521891,0.01533,Yes
0,0,1,0,0.111111,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.80995,0.092511,Yes
1,0,1,1,0.305556,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0.704975,0.222779,No
0,0,1,0,0.138889,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0.114428,0.032668,No
0,0,0,0,0.388889,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.861194,0.349325,Yes
1,0,1,1,0.861111,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0.377114,0.400317,No
1,0,0,1,0.180556,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0.315423,0.065619,No
1,0,1,0,0.222222,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0.006965,0.035541,No
1,0,0,0,0.805556,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0.816915,0.653393,No
1,0,1,0,0.680556,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0.850249,0.578987,Yes
1,0,1,0,0.347222,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.868159,0.307783,No
0,0,0,1,0.958333,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0.945274,0.90888,No
0,0,1,0,0.722222,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0.023881,0.115872,No
1,0,1,1,0.986111,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0.8801,0.849694,No
0,0,0,1,0.138889,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.367662,0.058799,Yes
0,0,1,0,0.291667,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0.714428,0.212797,No
1,1,1,0,0.013889,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0.212935,0.002406,Yes
1,0,0,0,0.166667,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0.015423,0.021169,No
1,0,1,0,0.013889,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0.018905,0.000156,Yes
0,0,0,0,0.805556,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.414428,0.402296,No
1,0,0,1,0.680556,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0.411443,0.340584,No
0,0,1,0,0.416667,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0.368657,0.174452,No
1,0,0,1,0.652778,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.806965,0.545852,Yes
1,0,0,1,0.013889,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0.118905,0.001315,Yes
